year,sugarEx,riceIm
1874,199,33
1875,210,119
1876,221,147
1877,224,78
1878,237,53
1879,192,103
1880,222,201
1881,267,198
1882,310,181
1883,301,149
1884,359,105
1885,420,72
1886,335,51
1887,387,45
1888,376,65
1889,316,96
1890,368,122
1891,437,120
1892,425,136
1893,508,173
1894,416,203
1895,576,147
1896,572,180
1897,518,250
1898,690,147
1899,777,166
1900,737,219
1901,724,607
1902,864,371
1903,865,199
1904,1052,307
1905,1050,300
1906,997,346
1907,1194,272
1908,1185,332
1909,1168,392
1910,1182,705
1911,1326,620
1912,1331,452
1913,1281,507
1914,1321,471
1915,1206,583
1916,1447,693
1917,1184,755
1918,1539,718
1919,1866,277
1920,1514,223
1921,1677,764
1922,1436,625
1923,1828,418
1924,1879,451
1925,2068,534
1926,1720,630
1927,1999,470
1928,2566,584
1929,2432,735
1930,2240,628
1931,1578,608
1932,1514,424
1933,1164,358
1934,1092,280
1935,1033,388
1936,884,233
1937,1138,178
1938,1078,334
1939,1369,278
1940,813,109